=== s1.png ===
[0.036,0.874 0.012x0.017] =
[0.087,0.952 0.036x0.008] C locaihost
[0.198,0.952 0.087x0.008] N NAN 2028- NHN Game x Al
[0.298,0.947 0.093x0.015] IQ ielyggumi/Abyssal-Lantem
[0.102,0.917 0.131x0.012] ea youtube.com/watch?v=wbDv6nawEey
[0.073,0.876 0.035x0.015] Premium
[0.160,0.831 0.035x0.019] 이야기
[0.360,0.876 0.015x0.015] 검색
[0.256,0.831 0.020x0.019] 장비
[0.346,0.831 0.022x0.019] 능력
[0.528,0.952 0.086x0.008] Aoseal Lontern_ Cinder 정
[0.645,0.947 0.035x0.015] (2) YouTube
[0.754,0.947 0.076x0.015] 백연슬래시 게임 -Google 검색)
[0.814,0.917 0.009x0.014] 다
[0.904,0.950 0.064x0.012] 수 Gemini에게 물어보기
[0.879,0.876 0.031x0.015] + 만들기
[0.435,0.831 0.025x0.019] 제작
[0.525,0.831 0.023x0.022] 지도
[0.195,0.728 0.167x0.036] 어두운 파멸의 도끼
[0.195,0.714 0.017x0.014] 신화
[0.273,0.698 0.042x0.014] 00000
[0.193,0.610 0.105x0.036] 지혜의 방패
[0.195,0.581 0.080x0.014] +000000000
[0.193,0.443 0.042x0.039] 가방
[0.609,0.831 0.035x0.019] 도움말
[0.667,0.676 0.052x0.022] 갑옷 방어력
[0.667,0.640 0.020x0.019] 물리
[0.667,0.619 0.020x0.019] 암흑
[0.667,0.595 0.020x0.022] 신성
[0.748,0.830 0.057x0.020] XP:527/12619
[0.744,0.640 0.015x0.019] 53
[0.744,0.619 0.015x0.019] 43
[0.746,0.597 0.013x0.020] 47
[0.769,0.740 0.042x0.039] 레벨
[0.776,0.679 0.031x0.019] 저항력
[0.776,0.640 0.020x0.019] 중독
[0.776,0.619 0.020x0.019] 화상
[0.776,0.595 0.020x0.022] 저주
[0.776,0.574 0.020x0.021] 출혈
[0.621,0.448 0.183x0.041] 데메테르의 애뮬릿1
[0.831,0.831 0.019x0.019] 214
[0.827,0.745 0.025x0.032] 70
[0.849,0.640 0.019x0.019] 207
[0.849,0.619 0.019x0.019] 152
[0.849,0.597 0.019x0.020] 141
[0.849,0.576 0.019x0.017] 258
[0.231,0.252 0.257x0.033] 직접 다시 플레이해 보게 되었어요
[0.231,0.210 0.208x0.038] 우선 저는 하다 보니 어느덧
[0.453,0.219 0.089x0.034] 신의 갑옷
[0.084,0.157 0.031x0.012] 0:50/ 8:35
[0.129,0.155 0.035x0.022] 뒤어류기>
[0.032,0.114 0.222x0.017] 2년간 밑바닥부터 조용히 발전해온 액션RPG 아킬레우스 리뷰
[0.057,0.090 0.099x0.015] 카사노박TV [CASANOPARK] e
[0.172,0.083 0.013x0.012] 가입
[0.057,0.076 0.039x0.012] 구독자 19.9만명
[0.711,0.107 0.013x0.012] 모두
